Source Language,BLEU,ChrF++,IndicBERT
bn,0.007357501721527095,0.4450042025510695,0.4906585059943609
ml,0.002125423477863695,0.09515314247483551,0.4913649521768093
ta,0.00211046779464508,0.08998438706982448,0.49356377599178813
gu,0.0021468590988156294,0.07515661540276966,0.47323076927568763
mr,0.0021913032056173794,0.08195063441294044,0.5046160286583472
or,0.0018128173774922807,0.07630909647981195,0.5255110262369271
