Source Language,Source Code,BLEU,ChrF++,IndicBERT
mr,mar_Deva,17.967317007134234,49.14391861766533,0.9584583483811002
as,asm_Beng,14.685148256812619,47.731761146150276,0.9530099787371
bn,ben_Beng,11.06271641753443,43.03134945696021,0.9191107723454479
ta,tam_Taml,14.897820491057505,45.39489314247875,0.9568336138618179
or,ory_Orya,14.838366032451628,48.148954073129424,0.9536149046034552
ml,mal_Mlym,15.565951353370377,47.413526145220544,0.9592804978892673
