Source Language,BLEU,ChrF++,IndicBERT
as,0.0019238949780673615,0.04803870882332425,0.5189764357346576
ml,0.012809129896394832,0.9110638009009193,0.5238596134877298
mr,0.004623855709389024,0.7949699267813642,0.5302290809922852
bn,0.001946826642609896,0.05024784174585842,0.5011062838020734
or,0.0030661812492917147,0.20150199027970606,0.5332614379876759
gu,0.03447978439495812,0.7292826586344493,0.4923080758017022
